type,subnet,specifics,source,Destinations,Environments,Sources,Status
PolicyType.Reachability,100.0.32.0/24,0,lisbon,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,marseille,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,lyon,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,zurich,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,frankfurt,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,ljubjana,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,kiev,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,geneva,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,luxembourg,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,brussels,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,london,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,barcelona,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,paris,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,bucharest,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,dublin,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,zagreb,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,stockholm,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,sofia,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,praha,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,athens,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,istanbul,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,rotterdam,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,vienna,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,basel,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,vaduz,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,madrid,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,budapest,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,milan,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,bratislava,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,strasbourg,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,roma,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,lisbon,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,marseille,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,lyon,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,warsaw,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,zurich,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,frankfurt,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,ljubjana,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.31.0/24,0,kiev,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,geneva,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,luxembourg,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,brussels,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,london,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,barcelona,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,paris,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,bucharest,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.31.0/24,0,dublin,{amsterdam:FastEthernet0/0 (100.0.31.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,zagreb,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,stockholm,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,sofia,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},sofia,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,praha,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},praha,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,rotterdam,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},rotterdam,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,athens,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},athens,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,istanbul,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},istanbul,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,vienna,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},vienna,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,basel,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},basel,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,vaduz,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,madrid,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},madrid,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,amsterdam,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},amsterdam,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,budapest,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},budapest,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,milan,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},milan,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,bratislava,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},bratislava,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,strasbourg,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},strasbourg,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,roma,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},roma,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,marseille,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},marseille,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,lyon,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},lyon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,warsaw,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},warsaw,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,zurich,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},zurich,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,frankfurt,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},frankfurt,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,ljubjana,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,kiev,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},kiev,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,geneva,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},geneva,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,luxembourg,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},luxembourg,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,brussels,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},brussels,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,london,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},london,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,barcelona,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},barcelona,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,paris,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},paris,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,bucharest,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},bucharest,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.30.0/24,0,dublin,{lisbon:FastEthernet0/0 (100.0.30.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,zagreb,{london:FastEthernet0/0 (100.0.29.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,stockholm,{london:FastEthernet0/0 (100.0.29.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,sofia,{london:FastEthernet0/0 (100.0.29.0/24)},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,praha,{london:FastEthernet0/0 (100.0.29.0/24)},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,rotterdam,{london:FastEthernet0/0 (100.0.29.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,athens,{london:FastEthernet0/0 (100.0.29.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,istanbul,{london:FastEthernet0/0 (100.0.29.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,vienna,{london:FastEthernet0/0 (100.0.29.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,basel,{london:FastEthernet0/0 (100.0.29.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,vaduz,{london:FastEthernet0/0 (100.0.29.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,madrid,{london:FastEthernet0/0 (100.0.29.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,amsterdam,{london:FastEthernet0/0 (100.0.29.0/24)},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,budapest,{london:FastEthernet0/0 (100.0.29.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,milan,{london:FastEthernet0/0 (100.0.29.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,bratislava,{london:FastEthernet0/0 (100.0.29.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,strasbourg,{london:FastEthernet0/0 (100.0.29.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,roma,{london:FastEthernet0/0 (100.0.29.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,lisbon,{london:FastEthernet0/0 (100.0.29.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,marseille,{london:FastEthernet0/0 (100.0.29.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,lyon,{london:FastEthernet0/0 (100.0.29.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,warsaw,{london:FastEthernet0/0 (100.0.29.0/24)},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,zurich,{london:FastEthernet0/0 (100.0.29.0/24)},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,frankfurt,{london:FastEthernet0/0 (100.0.29.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,ljubjana,{london:FastEthernet0/0 (100.0.29.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.29.0/24,0,kiev,{london:FastEthernet0/0 (100.0.29.0/24)},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,geneva,{london:FastEthernet0/0 (100.0.29.0/24)},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,luxembourg,{london:FastEthernet0/0 (100.0.29.0/24)},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,brussels,{london:FastEthernet0/0 (100.0.29.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,barcelona,{london:FastEthernet0/0 (100.0.29.0/24)},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,paris,{london:FastEthernet0/0 (100.0.29.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,bucharest,{london:FastEthernet0/0 (100.0.29.0/24)},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.29.0/24,0,dublin,{london:FastEthernet0/0 (100.0.29.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,zagreb,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,stockholm,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,sofia,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,rotterdam,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,athens,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,istanbul,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,vienna,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,basel,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,vaduz,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,madrid,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,amsterdam,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,budapest,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,milan,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,bratislava,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,strasbourg,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,roma,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,lisbon,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,marseille,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,lyon,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,warsaw,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,zurich,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,frankfurt,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},frankfurt,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,ljubjana,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},ljubjana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,kiev,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,geneva,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},geneva,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,luxembourg,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},luxembourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,brussels,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,london,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,barcelona,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},barcelona,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,paris,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},paris,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,bucharest,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,dublin,{praha:FastEthernet0/0 (100.0.28.0/24)},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.27.0/24,0,zagreb,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.27.0/24,0,stockholm,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.27.0/24,0,sofia,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,praha,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,rotterdam,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,athens,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,istanbul,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,vienna,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,basel,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,vaduz,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.27.0/24,0,madrid,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,amsterdam,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,budapest,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,bratislava,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,strasbourg,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,roma,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,lisbon,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.27.0/24,0,marseille,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,lyon,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,warsaw,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.27.0/24,0,zurich,{milan:FastEthernet0/0 (100.0.27.0/24)},{9},zurich,PolicyStatus.HOLDS
